session_id,distinct_id,$start_timestamp,$end_timestamp,max_inserted_at,$urls.0,$urls.1,$urls.2,$num_uniq_urls,$entry_current_url,$entry_pathname,$entry_hostname,$end_current_url,$end_pathname,$end_hostname,$entry_referring_domain,$entry_utm_source,$entry_utm_campaign,$entry_utm_medium,$entry_utm_term,$entry_utm_content,$entry_gclid,$entry_gad_source,$entry_gclsrc,$entry_dclid,$entry_gbraid,$entry_wbraid,$entry_fbclid,$entry_msclkid,$entry_twclid,$entry_li_fat_id,$entry_mc_cid,$entry_igshid,$entry_ttclid,$entry__kx,$entry_irclid,$pageview_count,$autocapture_count,$screen_count,$channel_type,$session_duration,$is_bounce,$last_external_click_url,$page_screen_autocapture_count_up_to,$vitals_lcp
019a1a27-187d-7355-a3e5-ece3fa8682f0,019a1a27-1860-70cc-9d06-5556906aace8,2025-10-25 06:56:01.296000+00:00,2025-10-25 06:56:01.556000+00:00,2025-10-25 06:56:12.199000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,1,0,0,Referral,0,1,,1,
019a0fc0-3f8e-7cd3-852c-bb74cfe7a084,019a09c1-210f-7aad-88b5-fcda9e2e2947,2025-10-23 06:27:29.054000+00:00,2025-10-23 06:28:16.750000+00:00,2025-10-23 06:28:22.222000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,2,6,0,Referral,47,0,,2,56.0
019a1a29-698e-77cc-8e33-f4c26466b6c9,019a1a29-6980-70d5-8632-7119966ef417,2025-10-25 06:58:33.087000+00:00,2025-10-25 07:01:20.329000+00:00,2025-10-25 07:01:34.089000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,3,6,0,Referral,167,0,,2,
019a19cb-7b74-7cad-98b1-e09c0630c5ca,019a16c0-3a0d-7375-aa02-f08348b00146,2025-10-25 05:15:57.410000+00:00,2025-10-25 05:15:58.813000+00:00,2025-10-25 05:16:08.418000+00:00,https://soma-blog-hugo-shy-bird-7985.fly.dev/,,,1,https://soma-blog-hugo-shy-bird-7985.fly.dev/,/,soma-blog-hugo-shy-bird-7985.fly.dev,https://soma-blog-hugo-shy-bird-7985.fly.dev/,/,soma-blog-hugo-shy-bird-7985.fly.dev,$direct,,,,,,,,,,,,,,,,,,,,,1,0,0,Direct,1,1,,1,
019a18a4-8684-76a0-b9ac-2a8eb4487142,019a09c1-210f-7aad-88b5-fcda9e2e2947,2025-10-24 23:55:43.615000+00:00,2025-10-25 00:18:09.931000+00:00,2025-10-25 00:18:13.818000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,1,0,0,Referral,1346,0,,1,
019a1a29-5784-79bc-aed4-8306cdc10ed4,019a1a29-5773-797c-956e-3b400fbd02a0,2025-10-25 06:58:28.471000+00:00,2025-10-25 06:58:28.734000+00:00,2025-10-25 06:58:45.989000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,1,0,0,Referral,0,1,,1,
019a1a27-2535-79a9-808c-96b8c5e54693,019a1a27-2533-735e-9fcb-bfeba021ac1a,2025-10-25 06:56:04.550000+00:00,2025-10-25 06:56:04.821000+00:00,2025-10-25 06:56:13.737000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,1,0,0,Referral,0,1,,1,
019a0ef1-5015-70c8-8d33-60ac47ade436,019a09c1-210f-7aad-88b5-fcda9e2e2947,2025-10-23 02:41:27.314000+00:00,2025-10-23 02:41:27.314000+00:00,2025-10-23 02:41:37.330000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,0,0,0,Referral,0,,,0,
019a1a25-b7c3-7f6c-9ea1-49e5e02637ba,019a1a25-a4c8-744b-9757-a849187caf69,2025-10-25 06:54:31.009000+00:00,2025-10-25 06:55:13.455000+00:00,2025-10-25 06:55:20.908000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,2,0,0,Referral,42,0,,2,
019a1a01-6425-7a9f-a08e-973a6a069a4c,019a09c1-210f-7aad-88b5-fcda9e2e2947,2025-10-25 06:14:50.506000+00:00,2025-10-25 06:50:33.338000+00:00,2025-10-25 06:50:48.485000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,37,11,0,Referral,2143,0,,2,
019a1a29-5242-7f44-aa94-e46c2942303f,019a1a29-5231-7bf6-b496-96462fc0082a,2025-10-25 06:58:27.121000+00:00,2025-10-25 06:58:27.383000+00:00,2025-10-25 06:58:40.372000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,1,0,0,Referral,0,1,,1,
019a11c1-39b0-7a5c-9c78-f2d3a580c6b2,019a09c1-210f-7aad-88b5-fcda9e2e2947,2025-10-23 15:47:47.629000+00:00,2025-10-23 15:47:47.629000+00:00,2025-10-23 15:47:57.923000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,0,0,0,Referral,0,,,0,
019a0c87-d10e-7981-a1e5-4abe2fcce785,019a09c1-210f-7aad-88b5-fcda9e2e2947,2025-10-22 15:26:59.073000+00:00,2025-10-22 15:26:59.073000+00:00,2025-10-22 15:29:46.694000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,0,0,0,Referral,0,,,0,
019a1a0a-d4ad-7338-9e22-8d810343d871,019a1a0a-d4a5-7505-8ec9-5f06dadca7f1,2025-10-25 06:25:09.084000+00:00,2025-10-25 06:25:21.980000+00:00,2025-10-25 06:25:32.890000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,$direct,,,,,,,,,,,,,,,,,,,,,2,0,0,Direct,12,0,,2,119.0
019a16c1-ea7e-73a3-8b15-18037c2f3668,019a09c1-210f-7aad-88b5-fcda9e2e2947,2025-10-24 15:06:38.854000+00:00,2025-10-24 15:27:34.889000+00:00,2025-10-24 15:27:46.005000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,10,3,0,Referral,1256,0,,2,648.0
019a1a29-6226-7ae6-9644-16ba564ca3ea,019a1a29-6216-78a0-8d20-f0f955869e07,2025-10-25 06:58:31.191000+00:00,2025-10-25 06:58:31.452000+00:00,2025-10-25 06:58:39.331000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,1,0,0,Referral,0,1,,1,
019a16c0-3a1a-788e-ae98-0ac5575eacaf,019a16c0-3a0d-7375-aa02-f08348b00146,2025-10-24 15:04:48.152000+00:00,2025-10-24 15:06:38.009000+00:00,2025-10-24 15:06:48.721000+00:00,https://soma-blog-hugo-shy-bird-7985.fly.dev/experiments/ab-test-simulator/,,,1,https://soma-blog-hugo-shy-bird-7985.fly.dev/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,soma-blog-hugo-shy-bird-7985.fly.dev,https://soma-blog-hugo-shy-bird-7985.fly.dev/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,soma-blog-hugo-shy-bird-7985.fly.dev,soma-blog-hugo-shy-bird-7985.fly.dev,,,,,,,,,,,,,,,,,,,,,1,0,0,Referral,110,0,,1,
019a1a0b-49b5-7f23-bba6-88d4b0b4211c,019a1a0b-49b1-710b-9bcb-35c254f1749b,2025-10-25 06:25:38.995000+00:00,2025-10-25 07:06:52.519000+00:00,2025-10-25 07:06:58.830000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,$direct,,,,,,,,,,,,,,,,,,,,,14,13,0,Direct,2474,0,,2,156.0
019a0aea-edeb-708a-8513-2d60f6b7bcea,019a09c1-210f-7aad-88b5-fcda9e2e2947,2025-10-22 07:56:00.135000+00:00,2025-10-22 07:58:39.724000+00:00,2025-10-22 07:58:52.940000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,3,3,0,Referral,159,0,,2,
019a1a29-4ba9-73e3-88a7-960fd16700f9,019a1a29-4b91-70f5-bb38-a2a648e5fe83,2025-10-25 06:58:25.454000+00:00,2025-10-25 06:58:25.701000+00:00,2025-10-25 06:58:35.732000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,1,0,0,Referral,0,1,,1,
019a0a6c-60dd-7cab-8fae-4f7b89085615,019a09c1-210f-7aad-88b5-fcda9e2e2947,2025-10-22 05:37:46.458000+00:00,2025-10-22 05:37:46.458000+00:00,2025-10-22 05:37:50.936000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,0,0,0,Referral,0,,,0,
019a09c1-211d-7898-b9ba-75520d4f4e13,019a09c1-210f-7aad-88b5-fcda9e2e2947,2025-10-22 02:30:45.893000+00:00,2025-10-22 02:31:01.244000+00:00,2025-10-22 02:31:13.404000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,1,0,0,Referral,16,0,,1,62.0
019a199d-5032-719a-9010-e64a77571889,019a09c1-210f-7aad-88b5-fcda9e2e2947,2025-10-25 04:25:31.818000+00:00,2025-10-25 05:37:44.317000+00:00,2025-10-25 05:37:57.039000+00:00,http://localhost:1313/,http://localhost:1313/experiments/ab-test-simulator,http://localhost:1313/experiments/ab-test-simulator/,3,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,54,19,0,Referral,4333,0,,2,69.0
019a09e6-fb91-71e2-9d62-cfe9461b7424,019a09c1-210f-7aad-88b5-fcda9e2e2947,2025-10-22 03:12:28.203000+00:00,2025-10-22 03:26:50.160000+00:00,2025-10-22 03:26:56.714000+00:00,http://localhost:1313/experiments/ab-test-simulator/,,,1,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,http://localhost:1313/experiments/ab-test-simulator/,/experiments/ab-test-simulator/,,localhost:1313,,,,,,,,,,,,,,,,,,,,,10,4,0,Referral,862,0,,2,83.0
